Jäällä [MASK] avaa aina hauskoja ja erikoisia näkökulmia kaupunkiin .	kävely
Kuinka erilaiselta [MASK] sieltä näyttikään .	maailma
Vaikka tiesi , millainen Turku on kartalla , [MASK] hämmästytti siltikin .	se
[MASK] rakennuksena tekee minuun aina suuren vaikutuksen .	Tuomiokirkko
Lauantaina [MASK] otimme koirun mukaan ja lähdimme kulkemaan jokea yläjuoksulle päin .	mekin
[MASK] ravasi käytännössä siksakkia joen toisen penkan muurilta toiselle , kävi tervehtimässä kaikkia vastaantulijoita ja varmuuden vuoksi kyräili jokaista hiihtäjää .	Se
Käsikirjoittaja [MASK] Kanniainen oli mielestäni onnistunut paitsi ohjauksessaan , myös käsikirjoituksessa .	Suvi
Ainoastaan ihan lopun [MASK] alkoivat olla dramaturgisesti puuroa , ikään kuin innostus olisi vienyt tarinaa eteenpäin , mutta yhtäkkiä olisi tullut ongelma , mihin jutun päättää .	tapahtumat
Varsinkin Salla Närän esittämä pornokaupan paha [MASK] sekä Tarja Vuolan elämäpakoinen leskirouva lunastivat paikkansa .	puuma
Samalla kun pornokaupan omistaja kertoo olevan ajan esitellä uusi sirkusprinsessa , [MASK] joutuvat kauppaamaan itseään keski-ikäisille lihaville miehille .	intimihierojat
Eilen [MASK] oli jättänyt vastaajaani viestin ja sanoi , että he voisivat osallistua tutkimukseen , mutta siinä on jossakin vaiheessa kolmen kuukauden periodi , jolloin Turussa täytyy käydä joka toinen viikko .	äitini
[MASK] huolestuneena tiedusteli , mahtaisimmeko jaksaa majoittaa heitä niin usein .	Hän
Mitä [MASK] puhun ?	minä
Mitä [MASK] ihan oikeasti puhun ?	minä
Olenko [MASK] sanomassa , että en tahdo majoittaa äitiäni , joka jaksaa tukea ja kannustaa puolisoaan ; toivoo hänen kanssaan , että lääkkeet hidastavat sairauden etenemistä niin paljon , että kuolema ehtisi korjata vanhan ihmisen ennen kuin sairaus pyyhkii ajatukset näkymättömiin .	minä
Vasta asian ääneen [MASK] laittoi asiat oikeisiin mittasuhteisiin .	sanominen
Silloin vasta [MASK] meni itsekkyyteni panssarin ohi .	se
[MASK] juoksi aitan katolle ja heilutteli hermostuneesti häntäänsä .	Se
[MASK] narisee terävästi kengän alla .	Pakkaslumi
[MASK] kysyi minulta , kuinka monta vuotta sitten homot alkoivat hankkia lesbojen kanssa lapsia .	Hän
[MASK] , mukava ja ystävällinen , meillä useasti käynyt , jatkoi .	Työkaveri
[MASK] yritti muotoilla asiaa useaan otteeseen : Mistä alkaen naisparit alkoivat hankkiutua raskaaksi ?	Hän
Koska [MASK] huomasivat , että lesbot olisivat siinä kätevästi hollilla ?	homot
Sen jälkeen kun [MASK] muutenkin alkoi telkkarissa olla ihan omana itsenään ?	homoja
Ikään kuin [MASK] olisi nähnyt mielessään rajattomasti rinnakkaisia todellisuuksia , joiden olemassaolosta hän ei ollut ennen tiennyt .	hän
[MASK] hoitaa pihat ja istutukset , mikä vähän kuin vahingossa on jättänyt minulle jäljelle talonmiehen , ylläpitäjän roolin .	Pupu
Jos joku repsottaa , on murtumassa , meinaa tipahtaa , on irronnut , [MASK] sen vaihdan .	minä
[MASK] nuuskutti innoissaan hankien merkittäviä tuoksuja , minä katselin puisia omakotitaloja ja pupu haaveili omasta pikkuruisesta pihasta .	Koira
[MASK] en tahdo kovinkaan paljoa lisää korjattavaa ja pupu ei taas tahdo enemmän huollettavaa kukkamaata .	Minä
Lisäksi pienen vastaanhangoittelun jälkeen [MASK] suostui jatkamaan iltaa Suxessiin ja kenties jopa Klubillekin .	pupu
[MASK] homobaarin väestä onkin alkanut epäillä pupun olemassaoloa .	Osa
Kesken mukavaa jutustelua , jonka aikana opastin lapsia argumentoinnin saloihin , eräs [MASK] viittasi :	tyttö
Kun vastasin , että täällä meidän koulussa , toinen [MASK] kommentoi :	poika
Kesken oppitunnin seiskaluokkalainen [MASK] viittaa innokkaasti .	poika
- Opettaja , [MASK] näin sut eilen kaupungilla .	mä
Ei kai meitä [MASK] sulje kellariin sarkofagiin oppituntien päätteeksi .	vahtimestari
[MASK] jatkui .	Tunti
[MASK] viittasi uudestaan , epätietoisena	Hän
