С 2012 года центр [MASK] также вопросом об освещении изменения климата .	занимается
Если эффект оказался недостаточным , [MASK] введение такой же дозы прозерина ( при появлении брадикардии делают дополнительную инъекцию атропина ) .	повторяют
Узнав о её существовании на допросе благовещенского диакона Федора Иванова , правительство [MASK] её конфискацией , со всеми подготовленными списками , и поручило написать на неё опровержение газскому митр .	озаботилось
5 июля германские войска [MASK] советские войска в НОВУРе , но успеха не имели .	атаковали
Хан Золотой Орды Улу - Мухаммед [MASK] Свидригайло и неоднократно посылал ему на помощь татарские войска , но последний заключил союз с Сайид Ахмадом , внуком Тохтамыша и соперником Улу - Мухаммеда .	поддерживал
На выборах в Европейский парламент 2009 года партия [MASK] 769125 голосов ( 17 % ) и 4 места из 25 ( в настоящее время -- 5 ) .	получила
Под вымышленными именами [MASK] , в частности , свои многочисленные сатирические диалоги , выдержанные в духе Лукиана , Крот Рубеан -- инициатор создания `` Писем тёмных людей &#39;&#39; .	издавал
В 2000 году [MASK] автобиографию `` Not afraid to change &#39;&#39; ( `` Не боюсь измениться &#39;&#39; ) , в которой рассказывал о попытках изменить свою сексуальную ориентацию .	написал
В 1 раунде рефери [MASK] Диксона за повторные удары ниже пояса .	дисквалифицировал
На Олипиаде - 2012 [MASK] азербайджанского боксёра Солтана Мигитинова ( 24-11 ) , венгра Золтана Харчша ( 14-10 ) и британца Энтони Огого .	победил
Однако в конце 2008 года `` Динамо &#39;&#39; [MASK] существование .	прекратило
При встрече , Вескер [MASK] Элис сыворотку , вернув прежние способности .	ввел
Американская певица и актриса Джениффер Лопес и певец Стивен Тайлер [MASK] Саймон Коуэлл , Эллен Дедженерес и Кара Диогарди в качестве новых судей конкурса .	заменили
Ещё в Падуе [MASK] большое число наблюдений астероидов , комет и покрытий звёзд .	сделал
Аслан - паша [MASK] Кутаиси , где схватил Вахтанга , царицу Дареджан и Кетеван , а Баграта Слепого вторично посадил на царский престол Имеретии .	занял
В этом же году он вновь [MASK] Кота в сапогах в спин-оффе мультфильма `` Шрек &#39;&#39; `` Кот в сапогах &#39;&#39; .	озвучил
С начала 1960-х [MASK] музыку к фильмам .	писал
В 1995 году Ленни Кравиц [MASK] альбом Circus , который достиг в Billboard 200 десятого места ( наивысшего на тот момент для исполнителя ) и стал единственным диском музыканта , возглавившим чарты Нидерландов и Японии .	выпустил
В августе 1937 года Баатр Басангов [MASK] подстрочный перевод двенадцати песен калмыцкого эпоса `` Джангар &#39;&#39; , который в 1940 году использовал Семён Липкин при литературном переводе .	подготовил
Взгляды Карлейля в чём-то [MASK] воззрения Ницше с его культом сверхчеловека , а через него -- Гитлера и других фашистских идеологов .	предвосхитили
Дмитрий сначала не [MASK] внятного ответа .	дал
В 1932 -- 1933 годах [MASK] срочную службу в Красной Армии .	проходил
Кроме занятий в больнице и обширной частной практики , [MASK] звание приват-доцента и начал чтение лекций по глазным болезням в Московском университете .	приобрел
С сестрами она [MASK] Элинаса в плен и замкнула его вместе с его богатствами в горе .	захватила
В 1983 году [MASK] ВГИК ( операторский факультет , мастерская Вадима Юсова ) .	закончил
По данным переписи населения 1959 года население села [MASK] 1482 человека .	составляло
Доход на душу населения [MASK] 35800 долларов в год .	составил
Этот первый рекрутский набор [MASK] Петру 25 пехотных полков и 2 кавалерийских -- драгунских полка .	дал
Подавление активности обратного захвата серотонина [MASK] серотонинергическую передачу , что приводит к последующему торможению адренергической активности в голубом ядре ( locus ceruleus ) .	повышает
Период мира после Венской конференции , известный как Pax Britannica , [MASK] флоту роль поддержания статус-кво .	отвёл
Китайские археологи нередко [MASK] династию Ся с археологической культурой Эрлитоу .	связывают
В ночь на 20 февраля венецианцы [MASK] на корабли всё , что можно было вывезти , и покинули остров .	погрузили
Согласно новшеству , первые три цифры в пятизначном ZIP-коде [MASK] номеру того или иного централизованного пункта ( ) по сортировке почтовых отправлений , стекавшихся из почтовых отделений , которые были приписаны к этому сортировочному пункту .	соответствовали
Ещё в правление отца [MASK] Западную Моравию ( 1029 ) .	получил
И только экстериоризация наших ментальных состояний [MASK] нам возможность , пусть и опосредованно , через нами же сконструированный мир вещей прикоснуться к сознанию этого Другого , вступить с ним в коммуникацию .	дает
Несмотря на изоляцию , [MASK] другие расы , одна платформа ( Легион ) была отправлена следить за Шепардом .	изучают
Хозяин с радостью [MASK] князя и в ответ на вопросы рассказывает свою печальную историю .	принимает
Легализация в начале 1990-х годов игорных заведений в штате Миссисипи сильно [MASK] экономике Дельты , в особенности городам Туника ( третий в по величине игорного бизнеса в США после Лас-Вегаса и Атлантик-Сити ) и Виксберг .	помогла
В 1943 году Зеленский [MASK] Новосибирское пехотное училище .	окончил
В свою очередь , Керенский [MASK] Корнилова мятежником и отстранил от должности .	объявил
В июне 1999 года [MASK] формулировку стратегического направления деятельности службы , состоящую из 4 элементов : Пожарная служба Новой Зеландии обладает юрисдикцией на всей территории страны без разделения по региону или городу .	разработала
После войны до 1925 года Привалов [MASK] пулемётными взводом и ротой .	командовал
Ежегодно поезд в обоих направлениях [MASK] более 500 тысяч человек .	перевозит
Поэтому при планировании сетей территориальное расположение точек присутствия различных провайдеров [MASK] не меньшее значение , чем стоимость и технические характеристики их услуг .	имеет
В конце первого тайма за фол против Юрия Беляева арбитр Николай Латышев [MASK] штрафной в ворота `` Динамо &#39;&#39; , которые защищал Лев Яшин , к точке подошёл Агапов .	назначил
В скором времени будущая актриса [MASK] решение , что для дальнейшего развития , должна перебраться в Пекин , и таким образом стала `` пекинским странником &#39;&#39; .	приняла
В начале февраля 1992 года военачальник Народного фронта Азербайджана Рагим Газиев [MASK] две установки `` Град &#39;&#39; в расположенную над Степанакертом Шушу , чтобы оттуда вести обстрел города .	передислоцировал
Своим трактором Михась [MASK] дорогу трактору Степана , который будучи пьяным за рулем , в порыве ревности хотел сломать дом Алены .	преградил
Это победоносное для немцев сражение [MASK] важную роль в объединении германских племён .	сыграло
На Олимпийских играх 2008 года Гун Лицзяо [MASK] пятый результат .	показала
В 1670 году французы [MASK] первое постоянное поселение на самом острове -- Кап - Франсуа ( современный Кап - Аитьен ) .	основали
В трудные для кафедры годы он [MASK] все , что было в его силах , для того , чтобы гуманитарное образование консерваторцев оставалось на должном уровне .	делал
В XIV веке вельможа Петр Переньи [MASK] тут замок Чонкавар .	строит
По пути в Маджапахит отряды принца [MASK] китайско-монгольский эскорт в засаду и стали скрытно окружать основные силы монголов .	заманили
В 2002 году население [MASK] 4017	составляло
Прошлогодние победители соревнований -- пара Катарина Среботник и Ненад Зимонич [MASK] свой прошлогодний титул в качестве первых сеяных турнира и проиграли в финале новым чемпионам .	защищали
В ярости Саурон [MASK] войну с эльфами и завоевал большую часть земель к западу от Андуина .	начал
Население коммуны на 2006 год [MASK] 298 человек .	составляло
Помимо многолетней вырубки и выкорчёвывания старых деревьев , замены лесов плантациями , популяциям этих птиц регулярно [MASK] ущерб охотники и птицеловы .	наносили
При этом возраст не [MASK] значения .	имеет
Увидев кристал , Гаррик [MASK] в нём мифаллар , могущественный артефакт древней расы Нетерезов .	узнаёт
Рост взрослого самца [MASK] 135 см в холке , вес -- до 170 -- 180 кг .	достигает
В своём фундаментальном произведении `` Общая история дел Новой Испании &#39;&#39; ( 1547 -- 1577 ) Бернардино де Саагун , опираясь на сведения ацтеков о свойствах растений , [MASK] первые сведения о применении лекарств против человеческой блохи ( ) , в частности о том , что : Предположительной родиной вида является Южная Америка ( там встречаюстя все остальные виды рода Pulex ) , где оригинальными хозяевами были пекари или морские свинки .	привел
По возвращении в Бунсборо , некоторые мужчины [MASK] слухи о предательстве Буна , так как после захвата в плен , он жил достаточно хорошо среди индейцев Шауни месяцами .	распространяли
В комплексе эти два вида охраны [MASK] объекту достаточный уровень безопасности , а также облегчали милиции поиск лица , совершившего несанкционированное проникновение .	обеспечивали
Internet Explorer ( версии 6 ) по-своему [MASK] HTML - стандарты ( отголоски старой борьбы за лидерство с Netscape ) .	трактовал
Не подозревавший об этой радиоигре Жуков [MASK] дорогую цену -- в наступлении под Ржевом полегли тысячи и тысячи наших солдат , находившихся под его командованием .	заплатил
В результате эсминец [MASK] надводную пробоину , ряд других повреждений и был поставлен к заводу `` Красная Кузница &#39;&#39; для аварийного ремонта .	получил
В результате в 1047 году император Генрих III [MASK] новый поход в Фрисландию , захватив и разрушив крепость Рейнсбург .	предпринял
После изучения бюджета в соответствующей комиссии нижней палаты Народная Джирга [MASK] по нему решение , которое вступала в силу после утверждения его королём .	принимала
Решение Бранфута не [MASK] поддержки у болельщиков , особенно , когда Кейс был заменён не столь надёжным Терри Харлоком .	нашло
При своем движении диски при их внедрении в накат [MASK] нормальные и касательные напряжения , достаточные для отрыва фрагментов наката от дорожного покрытия .	создают
Его клуб Питтсбург Пингвинз также [MASK] неплохой месяц , одержав в 13 матчах девять побед при трёх поражениях .	провёл
В 1907 году [MASK] Бахмутское духовное училище .	окончил
